"Report reference","Item reference","Type","Title","LGA","Community","Sector","Observation date","First submitted","Revision number","Review state","Observed progress","Confirmed progress","Observation","Evidence count"
"RPT-00084","ITEM-0031","SERVICE_ISSUE","DEMO — Water point service check Potiskum","Potiskum","Demo community 14","Livelihoods","2026-09-09","2026-09-08T02:56:53.382Z","1","IN_REVIEW","ACTION_IN_PROGRESS","NOT_CONFIRMED","Fictional observation 3 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00079","ITEM-0014","PUBLIC_PROJECT","DEMO — School roof repair Potiskum","Potiskum","Demo community 14","Education","2026-09-05","2026-09-08T02:56:53.382Z","1","VERIFIED","IN_PROGRESS","NOT_STARTED","Fictional observation 1 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00101","ITEM-0034","SERVICE_ISSUE","DEMO — Water point service check Yusufari","Yusufari","Demo community 17","Livelihoods","2026-09-05","2026-09-08T02:56:53.382Z","1","SUBMITTED","ACTION_IN_PROGRESS","OPEN","Fictional observation 2 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00096","ITEM-0033","SERVICE_ISSUE","DEMO — Water point service check Yunusari","Yunusari","Demo community 16","Education","2026-09-06","2026-09-08T02:56:53.382Z","1","IN_REVIEW","ACTION_IN_PROGRESS","NOT_CONFIRMED","Fictional observation 3 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00081","ITEM-0014","PUBLIC_PROJECT","DEMO — School roof repair Potiskum","Potiskum","Demo community 14","Education","2026-09-09","2026-09-08T02:56:53.382Z","1","IN_REVIEW","NOT_STARTED","NOT_STARTED","Fictional observation 3 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00089","ITEM-0032","SERVICE_ISSUE","DEMO — Water point service check Tarmuwa","Tarmuwa","Demo community 15","Health","2026-09-08","2026-09-08T02:56:53.382Z","1","SUBMITTED","ACTION_IN_PROGRESS","NOT_CONFIRMED","Fictional observation 2 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00091","ITEM-0016","PUBLIC_PROJECT","DEMO — School roof repair Yunusari","Yunusari","Demo community 16","Health","2026-09-02","2026-09-08T02:56:53.382Z","1","APPROVED","IN_PROGRESS","IN_PROGRESS","Fictional observation 1 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00099","ITEM-0017","PUBLIC_PROJECT","DEMO — School roof repair Yusufari","Yusufari","Demo community 17","Education","2026-09-07","2026-09-08T02:56:53.382Z","1","IN_REVIEW","NOT_STARTED","NOT_STARTED","Fictional observation 3 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00082","ITEM-0031","SERVICE_ISSUE","DEMO — Water point service check Potiskum","Potiskum","Demo community 14","Livelihoods","2026-09-05","2026-09-08T02:56:53.382Z","1","VERIFIED","OPEN","NOT_CONFIRMED","Fictional observation 1 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00078","ITEM-0030","SERVICE_ISSUE","DEMO — Water point service check Nguru","Nguru","Demo community 13","Education","2026-09-08","2026-09-08T02:56:53.382Z","1","IN_REVIEW","ACTION_IN_PROGRESS","OPEN","Fictional observation 3 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00095","ITEM-0033","SERVICE_ISSUE","DEMO — Water point service check Yunusari","Yunusari","Demo community 16","Education","2026-09-04","2026-09-08T02:56:53.382Z","1","SUBMITTED","ACTION_IN_PROGRESS","NOT_CONFIRMED","Fictional observation 2 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00076","ITEM-0030","SERVICE_ISSUE","DEMO — Water point service check Nguru","Nguru","Demo community 13","Education","2026-09-04","2026-09-08T02:56:53.382Z","1","VERIFIED","OPEN","OPEN","Fictional observation 1 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00083","ITEM-0031","SERVICE_ISSUE","DEMO — Water point service check Potiskum","Potiskum","Demo community 14","Livelihoods","2026-09-07","2026-09-08T02:56:53.382Z","1","SUBMITTED","ACTION_IN_PROGRESS","NOT_CONFIRMED","Fictional observation 2 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00100","ITEM-0034","SERVICE_ISSUE","DEMO — Water point service check Yusufari","Yusufari","Demo community 17","Livelihoods","2026-09-03","2026-09-08T02:56:53.382Z","1","VERIFIED","OPEN","OPEN","Fictional observation 1 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00098","ITEM-0017","PUBLIC_PROJECT","DEMO — School roof repair Yusufari","Yusufari","Demo community 17","Education","2026-09-05","2026-09-08T02:56:53.382Z","1","SUBMITTED","NOT_STARTED","NOT_STARTED","Fictional observation 2 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00073","ITEM-0013","PUBLIC_PROJECT","DEMO — School roof repair Nguru","Nguru","Demo community 13","Health","2026-09-04","2026-09-08T02:56:53.382Z","1","VERIFIED","IN_PROGRESS","IN_PROGRESS","Fictional observation 1 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00085","ITEM-0015","PUBLIC_PROJECT","DEMO — School roof repair Tarmuwa","Tarmuwa","Demo community 15","Livelihoods","2026-09-06","2026-09-08T02:56:53.382Z","1","VERIFIED","IN_PROGRESS","NOT_STARTED","Fictional observation 1 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00092","ITEM-0016","PUBLIC_PROJECT","DEMO — School roof repair Yunusari","Yunusari","Demo community 16","Health","2026-09-04","2026-09-08T02:56:53.382Z","1","SUBMITTED","NOT_STARTED","IN_PROGRESS","Fictional observation 2 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00080","ITEM-0014","PUBLIC_PROJECT","DEMO — School roof repair Potiskum","Potiskum","Demo community 14","Education","2026-09-07","2026-09-08T02:56:53.382Z","1","SUBMITTED","NOT_STARTED","NOT_STARTED","Fictional observation 2 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00090","ITEM-0032","SERVICE_ISSUE","DEMO — Water point service check Tarmuwa","Tarmuwa","Demo community 15","Health","2026-09-10","2026-09-08T02:56:53.382Z","1","IN_REVIEW","ACTION_IN_PROGRESS","NOT_CONFIRMED","Fictional observation 3 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00087","ITEM-0015","PUBLIC_PROJECT","DEMO — School roof repair Tarmuwa","Tarmuwa","Demo community 15","Livelihoods","2026-09-10","2026-09-08T02:56:53.382Z","1","IN_REVIEW","NOT_STARTED","NOT_STARTED","Fictional observation 3 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00059","ITEM-0027","SERVICE_ISSUE","DEMO — Water point service check Karasuwa","Karasuwa","Demo community 10","Education","2026-09-08","2026-09-08T02:56:53.381Z","1","SUBMITTED","ACTION_IN_PROGRESS","NOT_CONFIRMED","Fictional observation 2 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00055","ITEM-0010","PUBLIC_PROJECT","DEMO — School roof repair Karasuwa","Karasuwa","Demo community 10","Health","2026-09-06","2026-09-08T02:56:53.381Z","1","VERIFIED","IN_PROGRESS","IN_PROGRESS","Fictional observation 1 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00044","ITEM-0008","PUBLIC_PROJECT","DEMO — School roof repair Gulani","Gulani","Demo community 8","Education","2026-09-06","2026-09-08T02:56:53.381Z","1","SUBMITTED","NOT_STARTED","NOT_STARTED","Fictional observation 2 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00040","ITEM-0024","SERVICE_ISSUE","DEMO — Water point service check Gujba","Gujba","Demo community 7","Education","2026-09-03","2026-09-08T02:56:53.381Z","1","VERIFIED","OPEN","NOT_CONFIRMED","Fictional observation 1 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00032","ITEM-0006","PUBLIC_PROJECT","DEMO — School roof repair Geidam","Geidam","Demo community 6","Livelihoods","2026-09-04","2026-09-08T02:56:53.381Z","1","SUBMITTED","NOT_STARTED","NOT_STARTED","Fictional observation 2 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00007","ITEM-0002","PUBLIC_PROJECT","DEMO — School roof repair Bursari","Bursari","Demo community 2","Education","2026-09-03","2026-09-08T02:56:53.381Z","1","VERIFIED","IN_PROGRESS","NOT_STARTED","Fictional observation 1 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00028","ITEM-0022","SERVICE_ISSUE","DEMO — Water point service check Fune","Fune","Demo community 5","Livelihoods","2026-09-06","2026-09-08T02:56:53.381Z","1","VERIFIED","OPEN","OPEN","Fictional observation 1 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00071","ITEM-0029","SERVICE_ISSUE","DEMO — Water point service check Nangere","Nangere","Demo community 12","Health","2026-09-05","2026-09-08T02:56:53.381Z","1","SUBMITTED","ACTION_IN_PROGRESS","NOT_CONFIRMED","Fictional observation 2 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00047","ITEM-0025","SERVICE_ISSUE","DEMO — Water point service check Gulani","Gulani","Demo community 8","Livelihoods","2026-09-06","2026-09-08T02:56:53.381Z","1","SUBMITTED","ACTION_IN_PROGRESS","NOT_CONFIRMED","Fictional observation 2 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00030","ITEM-0022","SERVICE_ISSUE","DEMO — Water point service check Fune","Fune","Demo community 5","Livelihoods","2026-09-10","2026-09-08T02:56:53.381Z","1","IN_REVIEW","ACTION_IN_PROGRESS","OPEN","Fictional observation 3 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00052","ITEM-0026","SERVICE_ISSUE","DEMO — Water point service check Jakusko","Jakusko","Demo community 9","Health","2026-09-05","2026-09-08T02:56:53.381Z","1","VERIFIED","OPEN","OPEN","Fictional observation 1 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00043","ITEM-0008","PUBLIC_PROJECT","DEMO — School roof repair Gulani","Gulani","Demo community 8","Education","2026-09-04","2026-09-08T02:56:53.381Z","1","VERIFIED","IN_PROGRESS","NOT_STARTED","Fictional observation 1 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00023","ITEM-0021","SERVICE_ISSUE","DEMO — Water point service check Fika","Fika","Demo community 4","Education","2026-09-07","2026-09-08T02:56:53.381Z","1","SUBMITTED","ACTION_IN_PROGRESS","NOT_CONFIRMED","Fictional observation 2 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00014","ITEM-0003","PUBLIC_PROJECT","DEMO — School roof repair Damaturu","Damaturu","Demo community 3","Livelihoods","2026-09-06","2026-09-08T02:56:53.381Z","1","SUBMITTED","NOT_STARTED","NOT_STARTED","Fictional observation 2 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00051","ITEM-0009","PUBLIC_PROJECT","DEMO — School roof repair Jakusko","Jakusko","Demo community 9","Livelihoods","2026-09-09","2026-09-08T02:56:53.381Z","1","IN_REVIEW","NOT_STARTED","NOT_STARTED","Fictional observation 3 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00042","ITEM-0024","SERVICE_ISSUE","DEMO — Water point service check Gujba","Gujba","Demo community 7","Education","2026-09-07","2026-09-08T02:56:53.381Z","1","IN_REVIEW","ACTION_IN_PROGRESS","NOT_CONFIRMED","Fictional observation 3 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00034","ITEM-0023","SERVICE_ISSUE","DEMO — Water point service check Geidam","Geidam","Demo community 6","Health","2026-09-02","2026-09-08T02:56:53.381Z","1","APPROVED","OPEN","NOT_CONFIRMED","Fictional observation 1 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00049","ITEM-0009","PUBLIC_PROJECT","DEMO — School roof repair Jakusko","Jakusko","Demo community 9","Livelihoods","2026-09-05","2026-09-08T02:56:53.381Z","1","VERIFIED","IN_PROGRESS","NOT_STARTED","Fictional observation 1 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00009","ITEM-0002","PUBLIC_PROJECT","DEMO — School roof repair Bursari","Bursari","Demo community 2","Education","2026-09-07","2026-09-08T02:56:53.381Z","1","IN_REVIEW","NOT_STARTED","NOT_STARTED","Fictional observation 3 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00022","ITEM-0021","SERVICE_ISSUE","DEMO — Water point service check Fika","Fika","Demo community 4","Education","2026-09-05","2026-09-08T02:56:53.381Z","1","VERIFIED","OPEN","NOT_CONFIRMED","Fictional observation 1 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00031","ITEM-0006","PUBLIC_PROJECT","DEMO — School roof repair Geidam","Geidam","Demo community 6","Livelihoods","2026-09-02","2026-09-08T02:56:53.381Z","1","APPROVED","IN_PROGRESS","NOT_STARTED","Fictional observation 1 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00045","ITEM-0008","PUBLIC_PROJECT","DEMO — School roof repair Gulani","Gulani","Demo community 8","Education","2026-09-08","2026-09-08T02:56:53.381Z","1","IN_REVIEW","NOT_STARTED","NOT_STARTED","Fictional observation 3 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00011","ITEM-0019","SERVICE_ISSUE","DEMO — Water point service check Bursari","Bursari","Demo community 2","Livelihoods","2026-09-05","2026-09-08T02:56:53.381Z","1","SUBMITTED","ACTION_IN_PROGRESS","NOT_CONFIRMED","Fictional observation 2 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00057","ITEM-0010","PUBLIC_PROJECT","DEMO — School roof repair Karasuwa","Karasuwa","Demo community 10","Health","2026-09-10","2026-09-08T02:56:53.381Z","1","IN_REVIEW","NOT_STARTED","IN_PROGRESS","Fictional observation 3 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00013","ITEM-0003","PUBLIC_PROJECT","DEMO — School roof repair Damaturu","Damaturu","Demo community 3","Livelihoods","2026-09-04","2026-09-08T02:56:53.381Z","1","VERIFIED","IN_PROGRESS","NOT_STARTED","Fictional observation 1 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00020","ITEM-0004","PUBLIC_PROJECT","DEMO — School roof repair Fika","Fika","Demo community 4","Health","2026-09-07","2026-09-08T02:56:53.381Z","1","SUBMITTED","NOT_STARTED","IN_PROGRESS","Fictional observation 2 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00008","ITEM-0002","PUBLIC_PROJECT","DEMO — School roof repair Bursari","Bursari","Demo community 2","Education","2026-09-05","2026-09-08T02:56:53.381Z","1","SUBMITTED","NOT_STARTED","NOT_STARTED","Fictional observation 2 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00039","ITEM-0007","PUBLIC_PROJECT","DEMO — School roof repair Gujba","Gujba","Demo community 7","Health","2026-09-07","2026-09-08T02:56:53.381Z","1","IN_REVIEW","NOT_STARTED","IN_PROGRESS","Fictional observation 3 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00021","ITEM-0004","PUBLIC_PROJECT","DEMO — School roof repair Fika","Fika","Demo community 4","Health","2026-09-09","2026-09-08T02:56:53.381Z","1","IN_REVIEW","NOT_STARTED","IN_PROGRESS","Fictional observation 3 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00069","ITEM-0012","PUBLIC_PROJECT","DEMO — School roof repair Nangere","Nangere","Demo community 12","Livelihoods","2026-09-07","2026-09-08T02:56:53.381Z","1","IN_REVIEW","NOT_STARTED","NOT_STARTED","Fictional observation 3 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00058","ITEM-0027","SERVICE_ISSUE","DEMO — Water point service check Karasuwa","Karasuwa","Demo community 10","Education","2026-09-06","2026-09-08T02:56:53.381Z","1","VERIFIED","OPEN","NOT_CONFIRMED","Fictional observation 1 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00025","ITEM-0005","PUBLIC_PROJECT","DEMO — School roof repair Fune","Fune","Demo community 5","Education","2026-09-06","2026-09-08T02:56:53.381Z","1","VERIFIED","IN_PROGRESS","NOT_STARTED","Fictional observation 1 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00041","ITEM-0024","SERVICE_ISSUE","DEMO — Water point service check Gujba","Gujba","Demo community 7","Education","2026-09-05","2026-09-08T02:56:53.381Z","1","SUBMITTED","ACTION_IN_PROGRESS","NOT_CONFIRMED","Fictional observation 2 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00033","ITEM-0006","PUBLIC_PROJECT","DEMO — School roof repair Geidam","Geidam","Demo community 6","Livelihoods","2026-09-06","2026-09-08T02:56:53.381Z","1","IN_REVIEW","NOT_STARTED","NOT_STARTED","Fictional observation 3 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00068","ITEM-0012","PUBLIC_PROJECT","DEMO — School roof repair Nangere","Nangere","Demo community 12","Livelihoods","2026-09-05","2026-09-08T02:56:53.381Z","1","SUBMITTED","NOT_STARTED","NOT_STARTED","Fictional observation 2 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00012","ITEM-0019","SERVICE_ISSUE","DEMO — Water point service check Bursari","Bursari","Demo community 2","Livelihoods","2026-09-07","2026-09-08T02:56:53.381Z","1","IN_REVIEW","ACTION_IN_PROGRESS","NOT_CONFIRMED","Fictional observation 3 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00017","ITEM-0020","SERVICE_ISSUE","DEMO — Water point service check Damaturu","Damaturu","Demo community 3","Health","2026-09-06","2026-09-08T02:56:53.381Z","1","SUBMITTED","ACTION_IN_PROGRESS","NOT_CONFIRMED","Fictional observation 2 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00037","ITEM-0007","PUBLIC_PROJECT","DEMO — School roof repair Gujba","Gujba","Demo community 7","Health","2026-09-03","2026-09-08T02:56:53.381Z","1","VERIFIED","IN_PROGRESS","IN_PROGRESS","Fictional observation 1 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00016","ITEM-0020","SERVICE_ISSUE","DEMO — Water point service check Damaturu","Damaturu","Demo community 3","Health","2026-09-04","2026-09-08T02:56:53.381Z","1","VERIFIED","OPEN","NOT_CONFIRMED","Fictional observation 1 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00070","ITEM-0029","SERVICE_ISSUE","DEMO — Water point service check Nangere","Nangere","Demo community 12","Health","2026-09-03","2026-09-08T02:56:53.381Z","1","VERIFIED","OPEN","NOT_CONFIRMED","Fictional observation 1 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00048","ITEM-0025","SERVICE_ISSUE","DEMO — Water point service check Gulani","Gulani","Demo community 8","Livelihoods","2026-09-08","2026-09-08T02:56:53.381Z","1","IN_REVIEW","ACTION_IN_PROGRESS","NOT_CONFIRMED","Fictional observation 3 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00035","ITEM-0023","SERVICE_ISSUE","DEMO — Water point service check Geidam","Geidam","Demo community 6","Health","2026-09-04","2026-09-08T02:56:53.381Z","1","SUBMITTED","ACTION_IN_PROGRESS","NOT_CONFIRMED","Fictional observation 2 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00029","ITEM-0022","SERVICE_ISSUE","DEMO — Water point service check Fune","Fune","Demo community 5","Livelihoods","2026-09-08","2026-09-08T02:56:53.381Z","1","SUBMITTED","ACTION_IN_PROGRESS","OPEN","Fictional observation 2 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00024","ITEM-0021","SERVICE_ISSUE","DEMO — Water point service check Fika","Fika","Demo community 4","Education","2026-09-09","2026-09-08T02:56:53.381Z","1","IN_REVIEW","ACTION_IN_PROGRESS","NOT_CONFIRMED","Fictional observation 3 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00067","ITEM-0012","PUBLIC_PROJECT","DEMO — School roof repair Nangere","Nangere","Demo community 12","Livelihoods","2026-09-03","2026-09-08T02:56:53.381Z","1","VERIFIED","IN_PROGRESS","NOT_STARTED","Fictional observation 1 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00065","ITEM-0028","SERVICE_ISSUE","DEMO — Water point service check Machina","Machina","Demo community 11","Livelihoods","2026-09-04","2026-09-08T02:56:53.381Z","1","SUBMITTED","ACTION_IN_PROGRESS","NOT_CONFIRMED","Fictional observation 2 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00019","ITEM-0004","PUBLIC_PROJECT","DEMO — School roof repair Fika","Fika","Demo community 4","Health","2026-09-05","2026-09-08T02:56:53.381Z","1","VERIFIED","IN_PROGRESS","IN_PROGRESS","Fictional observation 1 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00062","ITEM-0011","PUBLIC_PROJECT","DEMO — School roof repair Machina","Machina","Demo community 11","Education","2026-09-04","2026-09-08T02:56:53.381Z","1","SUBMITTED","NOT_STARTED","NOT_STARTED","Fictional observation 2 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00038","ITEM-0007","PUBLIC_PROJECT","DEMO — School roof repair Gujba","Gujba","Demo community 7","Health","2026-09-05","2026-09-08T02:56:53.381Z","1","SUBMITTED","NOT_STARTED","IN_PROGRESS","Fictional observation 2 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00056","ITEM-0010","PUBLIC_PROJECT","DEMO — School roof repair Karasuwa","Karasuwa","Demo community 10","Health","2026-09-08","2026-09-08T02:56:53.381Z","1","SUBMITTED","NOT_STARTED","IN_PROGRESS","Fictional observation 2 for DEMO — School roof repair [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00036","ITEM-0023","SERVICE_ISSUE","DEMO — Water point service check Geidam","Geidam","Demo community 6","Health","2026-09-06","2026-09-08T02:56:53.381Z","1","IN_REVIEW","ACTION_IN_PROGRESS","NOT_CONFIRMED","Fictional observation 3 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00072","ITEM-0029","SERVICE_ISSUE","DEMO — Water point service check Nangere","Nangere","Demo community 12","Health","2026-09-07","2026-09-08T02:56:53.381Z","1","IN_REVIEW","ACTION_IN_PROGRESS","NOT_CONFIRMED","Fictional observation 3 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00054","ITEM-0026","SERVICE_ISSUE","DEMO — Water point service check Jakusko","Jakusko","Demo community 9","Health","2026-09-09","2026-09-08T02:56:53.381Z","1","IN_REVIEW","ACTION_IN_PROGRESS","OPEN","Fictional observation 3 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
"RPT-00010","ITEM-0019","SERVICE_ISSUE","DEMO — Water point service check Bursari","Bursari","Demo community 2","Livelihoods","2026-09-03","2026-09-08T02:56:53.381Z","1","VERIFIED","OPEN","NOT_CONFIRMED","Fictional observation 1 for DEMO — Water point service check [object Object]. Inspectors recorded only what was visible during the visit.","0"
